codigo_proveedor,descripcion,unidad,cantidad,costo_unitario,margen,precio_venta,proveedor,categoria,unidad_negocio
12261,PARAL DE 1 5/8 SIN MARCA,UND,20,47.00,35,63.45,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
12262,PARAL DE 2 1/2 SIN MARCA,UND,20,58.50,35,78.98,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
12263,PARAL DE 3 5/8 SIN MARCA,UND,20,72.00,35,97.20,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
12264,RIEL DE 1 5/8 SIN MARCA,UND,10,38.00,35,51.30,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
12265,RIEL DE 2 1/2 SIN MARCA,UND,10,48.00,35,64.80,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
12266,RIEL DE 3 5/8 SIN MARCA,UND,10,63.00,35,85.05,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
10759,ESQUINERO PLASTICO 10 PIES,UND,10,54.00,35,72.90,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
12267,RIEL J PLASTICO SIN MARCA,UND,10,55.00,35,74.25,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
10349,CANAL SOMBRERO C28 SFL 10 PIES,UND,15,44.00,35,59.40,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
10087,ANGULAR GYPSUM 1X1X10,UND,15,23.00,35,31.05,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
10944,LAMINA GYPSUM 4X8 PIES REGULAR KNAUF,UND,6,375.00,35,506.25,FERRETERIA LA PRINCIPAL,Perfilería y Gypsum,Ferretería
15943,TUBO PVC 4 PULGADAS DRENAJE SDR 64 AMANCO,UND,3,320.00,35,432.00,FERRETERIA LA PRINCIPAL,Plomería,Ferretería
10348,CANAL LISO 6 METROS AMANCO,UND,1,1185.00,35,1599.75,FERRETERIA LA PRINCIPAL,Plomería,Ferretería
10347,CANAL COLONIAL 6 METROS AMANCO,UND,1,875.00,35,1181.25,FERRETERIA LA PRINCIPAL,Plomería,Ferretería
