internal_code,supplier_code,name,category_code,unit_type,stock,min_stock,purchase_price,sale_price,status,source
MM-FIJ-000001,ADG015,"COFLEX, DE LOS TORNILLOS GYSON, AMARILLOS Y CLAVOS, ALDABA GALVANIZADA 1.5"" UYUSTOOLS (CAJA",FIJ,UND,6.00,3,0.00,14.50,ACTIVE,PDF Cotizacion
MM-FIJ-000002,ADG002,"CONTIENE 24 UNIDADES) ALDABA GALVANIZADA 2"" UYUSTOOLS (CAJA CONTIENE",FIJ,UND,6.00,3,0.00,22.36,ACTIVE,PDF Cotizacion
MM-FIJ-000003,ADG055,"24) ALDABA GALVANIZADA 5.5"" UYUSTOOLS (CAJA DE 12",FIJ,UND,3.00,3,0.00,56.00,ACTIVE,PDF Cotizacion
MM-GEN-000001,ALICATE,"DE COMBINACION DE 8"" CLEVER",GEN,UND,3.00,3,0.00,80.00,ACTIVE,PDF Cotizacion
MM-HER-000001,ALC6D15,"ALICATE DE CORTE DE 6"""" UYUSTOOLS (CAJA DE 6",HER,UND,3.00,3,0.00,106.00,ACTIVE,PDF Cotizacion
MM-FIJ-000004,AMR145,"AMARRA PLASTICA 4.8X25MM NEGRA 10"""" UYUSTOLS",FIJ,UND,3.00,3,0.00,89.20,ACTIVE,PDF Cotizacion
MM-FIJ-000005,AMR103,"AMARRA PLASTICA 2.5 X 160 6"" NEGRA UYUSTOOL",FIJ,UND,3.00,3,0.00,28.35,ACTIVE,PDF Cotizacion
MM-FIJ-000006,AMR148,"(BOLSA 100 PCS) AMARRA PLASTICA 4.8X450MM 18"""" NEGRA",FIJ,UND,2.00,3,0.00,195.00,ACTIVE,PDF Cotizacion
MM-ELE-000001,INT04F,APAGADOR DE TORTUGA FYY,ELE,UND,12.00,3,0.00,15.90,ACTIVE,PDF Cotizacion
MM-GEN-000002,PBOX,ARO DE REPELLO SENCILLO 2X4 METALICO FEDERALLI,GEN,UND,6.00,3,0.00,10.00,ACTIVE,PDF Cotizacion
MM-FIJ-000007,BI325DD,BISAGRA DORADA 3X2.5X2.5 UYUSTOOLS,FIJ,UND,3.00,3,0.00,67.10,ACTIVE,PDF Cotizacion
MM-FIJ-000008,BID01W,"BISAGRA DORADA DOBLE 1"" FYY (1""x1.5"")",FIJ,UND,6.00,3,0.00,15.04,ACTIVE,PDF Cotizacion
MM-FIJ-000009,BID15W,"BISAGRA DORADA DOBLE 1.5"" FYY (1.5""x2"")",FIJ,UND,6.00,3,0.00,17.30,ACTIVE,PDF Cotizacion
MM-FIJ-000010,BIR135U,BISAGRA ESCONDIDA 35MM CURVA UYUSTOOLS,FIJ,UND,6.00,3,0.00,29.75,ACTIVE,PDF Cotizacion
MM-GEN-000003,BIR35U,BISASGRA ESCONDIDA 35MM RECTA UYUSTOOLS,GEN,UND,6.00,3,0.00,28.35,ACTIVE,PDF Cotizacion
MM-GEN-000004,ASP37,"BOMBA DE AGUA AUTOCEBANTE 1/2"" HP NARANJA",GEN,UND,1.00,3,0.00,1666.56,ACTIVE,PDF Cotizacion
MM-ELE-000002,A60-9W,CLEVER FEDERALLI BOMBILLO LED 9W MARCA POWER BASE BLANCAE-27,ELE,UND,10.00,3,0.00,28.00,ACTIVE,PDF Cotizacion
MM-ELE-000003,A60-12W,A60 BOMBILLO LED 12W MARCA POWER BASE BLANCA E-27,ELE,UND,10.00,3,0.00,40.00,ACTIVE,PDF Cotizacion
MM-ELE-000004,A60-15W,No 16880 BOMBILLO LED 15W MARCA POWER BASE BLANCA E-27,ELE,UND,10.00,3,0.00,40.00,ACTIVE,PDF Cotizacion
